loan_id,age,gender,region,employment_status,employment_length,annual_income,credit_score,dti,loan_amount,purpose,interest_rate,ip_risk_score,has_document_mismatch,income_mismatch_ratio
37,40,Female,Northland,Self-employed,5,98692.87,684,15.95,15581.79,debt_consolidation,0.183582735,58.7,0,1.16
38,18,Female,Marlborough,Employed,11,164229.64,669,3.6,8452.77,small_business,0.195182306,21,0,1.19
39,25,Male,Marlborough,Student,3,209164.67,736,22.25,33970.62,education,0.156612904,61,0,0.91
40,40,Male,Manawatu-Whanganui,Part-time,0,67782.44,617,36.88,11317.99,home_improvement,0.265003069,25.2,0,0.86
41,45,Female,Southland,Employed,4,128711.14,666,17.2,4647.59,education,0.208318875,46.6,1,1.18
42,40,Female,Gisborne,Part-time,2,18000,697,20.15,10415.2,small_business,0.218067312,43.2,0,1.04
43,37,Other/Prefer not to say,Southland,Employed,6,164968.91,629,17.39,14439.51,car,0.238781786,43.9,0,1.2
44,35,Female,Manawatu-Whanganui,Employed,15,42049.9,560,25.37,15990.85,debt_consolidation,0.334292089,22.5,0,1.36
45,23,Female,Southland,Employed,3,56245.66,611,25.74,22554.29,education,0.296292271,50,0,1.23
46,31,Female,Northland,Employed,3,84694.44,676,7.19,26937.09,education,0.196437177,36,0,0.97
47,33,Male,Tasman,Self-employed,5,59282.96,665,10.03,5794.35,education,0.19592336,10.5,0,1.05
48,49,Male,Taranaki,Employed,1,73131.51,679,11.5,10524.83,education,0.200722281,31,0,1.42
49,41,Male,Manawatu-Whanganui,Student,1,168511.34,640,18.89,8043.18,vacation,0.232502291,72.4,0,1.6
50,20,Female,Taranaki,Unemployed,13,51617.22,601,25.76,18685.13,debt_consolidation,0.262076616,12.2,0,1.04
51,41,Female,Waikato,Employed,6,33859.95,688,0,10342.76,other,0.210864149,0,0,1.18
52,34,Female,Canterbury,Unemployed,0,192956.66,670,21.56,23519.94,debt_consolidation,0.182929776,31.9,0,1.32
53,31,Male,Southland,Part-time,1,89161.19,718,30.43,8674.8,debt_consolidation,0.143217672,41.9,0,1.01
54,44,Female,Gisborne,Employed,6,205970.03,635,15.25,19403.16,small_business,0.250509678,89.4,0,1.26
55,48,Male,Bay of Plenty,Employed,7,109132.77,559,17.36,10454.6,debt_consolidation,0.324191719,35,0,1.37
56,47,Male,Wellington,Employed,9,29377.55,524,25.86,35872.39,home_improvement,0.316693325,24.7,0,1.1
57,30,Female,Southland,Employed,2,95738.27,656,24.12,15568.89,small_business,0.251890357,24.9,1,1.04
58,35,Female,Wellington,Employed,13,36017.99,688,15.22,4724.67,medical,0.195212673,31.1,0,0.73
59,41,Other/Prefer not to say,Southland,Employed,4,65290.49,666,21.26,16362.41,medical,0.203294888,31,0,1.09
60,48,Male,Bay of Plenty,Self-employed,6,62113.21,646,0,6636.58,vacation,0.237850324,47.9,0,1.1
61,33,Female,Auckland,Self-employed,5,24625.66,585,21.09,31412.64,other,0.274803743,52,0,0.86
62,36,Male,Tasman,Employed,1,39912.96,567,18.15,14023.29,debt_consolidation,0.325209835,58.9,0,0.88
63,27,Male,West Coast,Employed,16,244080.88,702,30.91,15533.08,education,0.170493458,28.9,0,1.28
64,26,Female,Auckland,Employed,1,74994.42,666,31.15,4604.83,car,0.192451863,58.9,0,0.66
65,46,Female,Otago,Employed,1,58500.17,658,16.65,13537.27,home_improvement,0.257266591,64.4,0,1.09
66,52,Female,Auckland,Employed,8,192890.26,587,28.77,4616.7,other,0.287172053,25.2,0,1.18
67,37,Male,Taranaki,Part-time,5,51246.44,622,11.99,19902.35,medical,0.220177889,80.7,0,1.1
68,48,Female,Northland,Employed,9,61530.63,683,18.08,12142.3,vacation,0.183210783,35,0,1
69,42,Male,Waikato,Employed,4,117785.95,697,28.26,14979.62,medical,0.216341645,29.5,0,0.77
70,32,Female,West Coast,Employed,2,51108.24,670,19.76,17376.49,small_business,0.184576007,67.9,0,1.13
71,42,Male,Bay of Plenty,Student,13,41532.44,763,23.3,22260.55,other,0.13484504,48.2,0,1.38
72,53,Male,Taranaki,Unemployed,0,18000,645,18.11,28554.11,medical,0.25802573,58.4,0,0.87
73,38,Female,Taranaki,Employed,10,37058.15,757,12.87,12558.39,home_improvement,0.121522222,39.9,0,1.08
74,54,Female,Otago,Employed,1,36846.87,693,16.37,12689.85,other,0.18675696,60.2,0,1.46
75,18,Male,Taranaki,Employed,9,71487.83,686,13.84,32114.47,other,0.196835575,48.4,0,1.11
76,46,Male,Marlborough,Employed,1,45065.29,736,14.07,28319.64,small_business,0.172241427,11.8,1,0.98
77,39,Female,Marlborough,Part-time,4,237269.99,643,28.69,22817.19,other,0.254123449,24.1,0,1.17
78,35,Male,Canterbury,Self-employed,11,34460.37,660,11.4,17901.38,small_business,0.199177326,18.3,0,0.97
79,39,Male,Auckland,Self-employed,3,150622.29,607,8.05,39504.02,education,0.292258872,21.6,0,0.67
80,18,Male,Tasman,Employed,7,74161.05,736,33.36,9732.78,vacation,0.172654637,72.3,1,1.22
81,36,Male,Tasman,Employed,8,105472.65,700,17.07,29156.5,vacation,0.144559811,55.2,0,0.93
82,42,Female,Wellington,Unemployed,7,101697.12,746,27.68,8424.61,home_improvement,0.132213064,28,0,0.92
83,53,Female,Nelson,Employed,13,18000,692,29.75,7332.35,education,0.210721659,49.6,0,0.93
84,33,Female,Marlborough,Part-time,3,64551,746,19.57,70000,debt_consolidation,0.110237109,45,0,0.96
85,30,Other/Prefer not to say,Canterbury,Employed,1,55537.05,635,25.55,33234.46,education,0.223969757,29.1,0,1.36
86,33,Male,Waikato,Employed,0,32937.12,739,14.27,13010.41,vacation,0.149367565,40.3,0,1.45
87,47,Male,Marlborough,Self-employed,1,85640.89,656,9.31,3679.14,car,0.2320331,39.1,0,1.39
88,41,Male,Waikato,Employed,1,182055.48,680,20.38,4760.3,education,0.182789645,48.6,0,1.28
89,33,Male,Waikato,Employed,4,18000,724,34.26,22320.87,vacation,0.168448671,25.9,0,1.17
90,43,Male,Gisborne,Employed,1,47167.52,820,4.37,24681.98,vacation,0.091099612,15.2,0,0.78
91,39,Female,Auckland,Unemployed,0,30781.92,729,23.33,17135.2,other,0.158484458,0,0,0.98
92,48,Female,Taranaki,Employed,0,67860.49,735,14.67,20701.06,other,0.164348789,42.7,1,1.54
93,31,Male,Waikato,Employed,9,53464.32,647,3.79,1921.92,other,0.23044243,37.5,0,0.97
94,35,Female,Bay of Plenty,Self-employed,4,45194.75,689,17.44,14603.42,medical,0.215249001,80.7,0,1.29
95,34,Female,Wellington,Employed,2,98306.62,674,14.13,33620.38,home_improvement,0.187758584,52,0,1.05
96,23,Female,Taranaki,Part-time,11,173485.85,764,12.27,13369.11,vacation,0.139251087,30.9,0,0.54
97,41,Female,Otago,Employed,0,300000,671,17.88,30142.87,home_improvement,0.219034811,41.1,0,1.18
98,41,Female,Auckland,Unemployed,20,41704.53,760,17.77,57799.89,education,0.115101334,56.1,0,1.28
99,38,Female,Northland,Employed,5,21798.95,602,0,10958.38,home_improvement,0.276868593,33.9,0,0.99
100,36,Female,Nelson,Unemployed,1,90913.19,764,32.19,25455.27,car,0.118358145,19.3,1,1.35
101,24,Female,Canterbury,Unemployed,6,170831.57,628,30.12,11742.1,debt_consolidation,0.243121197,9.3,0,0.74
102,34,Male,Hawke's Bay,Part-time,7,105911.23,731,30.84,12939.69,other,0.143949788,58,0,0.8
103,35,Male,Canterbury,Employed,3,170407.99,628,18.23,22573.65,debt_consolidation,0.224123797,60.2,0,1.13
104,30,Female,Tasman,Employed,10,56774.95,717,19.19,14544.77,home_improvement,0.173814776,24.7,0,1.12
105,36,Male,Southland,Self-employed,1,45089.19,622,27.82,66650.91,home_improvement,0.25113564,40.1,0,1.28
106,42,Male,Southland,Employed,2,69661.57,742,32.04,6422.18,debt_consolidation,0.12532956,25.3,0,1.12
107,57,Female,Southland,Employed,0,53306.34,731,28.94,18674.85,vacation,0.177872189,84.5,0,0.81
108,40,Male,Waikato,Part-time,1,96760.97,644,18.52,15746.34,car,0.240320378,26.5,0,1.18
109,41,Female,Wellington,Employed,1,116308.71,715,19.98,48262.53,education,0.160226979,42.5,0,1.13
110,37,Female,Otago,Part-time,12,121904.44,737,26.3,16145.74,debt_consolidation,0.154741524,55.2,0,0.67
111,19,Other/Prefer not to say,Marlborough,Employed,0,88300.24,625,15.12,13608.49,debt_consolidation,0.226203161,50.6,0,1.04
112,38,Female,Taranaki,Unemployed,3,75330.17,618,21.01,18407.75,debt_consolidation,0.275334828,48.5,0,1.05
113,39,Male,Southland,Self-employed,4,104694.15,616,8.56,38098.82,home_improvement,0.279718212,25.6,0,0.93
114,63,Female,Nelson,Employed,11,20017.2,607,5.11,14226.67,home_improvement,0.290460299,50.9,0,1.22
115,36,Female,Nelson,Part-time,30,73753.59,615,14.3,9687.1,medical,0.268601544,56.5,0,0.8
116,41,Other/Prefer not to say,Tasman,Employed,7,67079.21,735,14.66,6072.93,small_business,0.157192014,45.1,0,1.16
117,38,Male,Bay of Plenty,Student,18,73864.73,713,14.6,11709.42,debt_consolidation,0.162647315,5.7,0,1.19
118,26,Male,Manawatu-Whanganui,Self-employed,8,61670.96,578,18.12,15507.8,other,0.318657673,0.5,0,1.37
119,49,Female,Canterbury,Employed,17,84225.74,649,22.49,3092.13,home_improvement,0.245690659,38.9,0,0.79
120,46,Male,Manawatu-Whanganui,Part-time,6,46045.29,611,17.42,6718.37,other,0.269866941,7.4,0,0.76
121,46,Female,Southland,Employed,0,128009.1,732,21.99,16768.33,debt_consolidation,0.172331664,31.8,0,1.1
122,29,Male,Taranaki,Unemployed,3,86364.54,653,18.9,5134.75,education,0.230193799,61,0,1.03
123,52,Male,Wellington,Employed,5,71150.6,587,23.18,21965.46,home_improvement,0.289107113,41.2,0,1.78
124,24,Male,Manawatu-Whanganui,Student,2,42771.73,690,10.29,10742.05,debt_consolidation,0.18585906,10,0,1.17
125,44,Male,Canterbury,Self-employed,2,106014.66,716,25.76,7715.84,vacation,0.151373482,9.9,0,1.08
126,60,Female,Nelson,Employed,4,73580.72,623,22.22,19723.75,home_improvement,0.236355019,58.3,0,1
127,28,Female,Nelson,Self-employed,14,41309.7,664,11.53,16273.72,vacation,0.196000261,35,0,0.82
128,32,Male,Northland,Employed,0,62827.34,626,19.08,17571.72,medical,0.242888674,56.2,0,1.21
129,39,Female,Hawke's Bay,Employed,7,94806.39,755,11.93,17263.79,car,0.111452771,33.2,0,1.12
130,33,Male,Manawatu-Whanganui,Employed,6,90498.33,654,29.13,13030.52,car,0.252872365,0,1,1.03
131,22,Female,Northland,Employed,17,87059.57,637,3.94,5320.31,other,0.246369115,74.1,0,1.11
132,39,Male,Northland,Employed,13,68710.78,677,12.82,4601.18,education,0.194988564,31.2,0,1.03
133,27,Female,Waikato,Employed,7,120286.81,668,24.38,3032.72,small_business,0.18392362,11.7,0,0.7
134,43,Female,Hawke's Bay,Employed,4,136601.12,721,22.06,20641.64,education,0.148470894,52.1,0,1.18
135,29,Female,Bay of Plenty,Employed,1,101167.83,753,26.69,11345.73,other,0.129435621,58,0,0.89
136,53,Female,Gisborne,Employed,4,45691.69,753,7.49,12048.99,medical,0.127451018,65.2,0,1.01
137,30,Female,Canterbury,Self-employed,7,34451.42,657,9.96,3565.89,debt_consolidation,0.22706459,28.1,0,1.37
138,35,Other/Prefer not to say,Southland,Unemployed,11,46900.27,698,26.45,5619.92,car,0.216260015,3.7,0,1.49
139,46,Female,Otago,Employed,8,209889.52,769,25.61,6200.48,medical,0.136801482,48,0,0.71
140,26,Female,Taranaki,Student,1,76969.16,772,11.34,5947.8,home_improvement,0.119702624,43,0,1.03
141,40,Female,Otago,Self-employed,5,232816.91,627,34.35,12317.84,debt_consolidation,0.256907414,17.7,0,1.22
142,51,Male,Manawatu-Whanganui,Unemployed,2,60477.31,716,18.45,8417.78,medical,0.144288939,25,0,0.77
143,22,Female,Tasman,Employed,0,55650.95,705,15.12,39020,medical,0.150041117,23.8,0,1.11
144,40,Male,Hawke's Bay,Employed,1,62175.02,736,6.92,24294.31,debt_consolidation,0.17437203,45.1,0,1.05
145,41,Female,Manawatu-Whanganui,Student,1,61502.81,755,22.79,61088.32,medical,0.132145153,39.3,0,1.01
146,46,Female,Hawke's Bay,Student,9,40861.84,618,21.09,16371.59,medical,0.26331492,47.6,0,0.89
147,26,Female,Canterbury,Employed,1,32624.98,639,15.48,3494.52,home_improvement,0.252880827,7.3,0,1.16
148,25,Male,Taranaki,Employed,2,87811.22,734,13.89,70000,medical,0.179531009,42,0,1.16
149,43,Male,Tasman,Self-employed,16,122404.08,689,13.47,9911.24,education,0.20308698,37.7,0,1.04
150,41,Female,Taranaki,Self-employed,2,281850.29,546,5.96,20654.1,other,0.338711448,78.2,0,0.95
151,41,Female,Canterbury,Student,0,50106.94,580,26.18,25377.19,education,0.262551083,25,0,1.03
152,41,Male,Bay of Plenty,Employed,2,52604.1,720,28.36,18918.77,small_business,0.153132545,29.7,0,1.03
153,31,Male,Northland,Employed,1,40921.26,730,0,6344.92,small_business,0.15081266,47.6,0,0.94
154,40,Female,Tasman,Employed,1,127717.87,599,17.08,12166.04,home_improvement,0.261064347,38.6,0,1.34
155,41,Female,Hawke's Bay,Employed,0,105993.71,746,19.65,6326.36,medical,0.120467119,0,0,0.89
156,31,Male,Auckland,Employed,4,38406.49,668,23.93,14197.46,small_business,0.195704418,19.6,0,0.83
157,57,Male,Auckland,Student,1,37828.71,619,14.39,5995.21,other,0.264660449,44.8,0,1.14
158,43,Male,Nelson,Employed,2,115110.91,646,16.57,14854.79,education,0.221510937,22.6,0,0.94
159,26,Other/Prefer not to say,Northland,Student,10,81802.27,607,20,14139.81,vacation,0.292348626,40.7,0,1.28
160,45,Male,Gisborne,Employed,3,102454.67,643,19.17,44701.08,vacation,0.229499738,64.8,1,1.05
161,28,Male,Manawatu-Whanganui,Employed,12,38272.29,568,24.29,20750.21,debt_consolidation,0.305621581,5.5,0,1.28
162,46,Male,Hawke's Bay,Employed,3,21067.94,676,8.57,15359.99,home_improvement,0.182070388,43.1,0,0.83
163,50,Male,Gisborne,Employed,3,38451.91,715,7.86,9286.65,education,0.157436136,17.6,0,0.97
164,30,Female,Wellington,Unemployed,7,98204.04,599,14.8,12550.18,education,0.27458573,46.3,0,0.94
165,48,Male,Taranaki,Employed,0,230677.83,681,5.84,6414.41,small_business,0.181083648,86.5,0,0.81
166,42,Male,Marlborough,Employed,0,50234.84,632,38.48,24683.02,education,0.225999449,4.3,0,0.88
167,46,Male,Otago,Employed,5,254652.74,720,10.25,19673.27,medical,0.175750345,0,0,0.9
168,57,Male,Wellington,Employed,3,106941.2,541,25.64,1433.64,debt_consolidation,0.310686361,0,0,1.27
169,36,Male,Southland,Unemployed,8,28178.74,723,30.22,25291.36,vacation,0.169563124,72.2,0,0.89
170,30,Female,Otago,Employed,12,73907,571,20.06,15242.48,vacation,0.329457883,1.2,0,0.82
171,29,Female,Taranaki,Unemployed,2,109155.32,667,11.75,52902.99,debt_consolidation,0.193634213,23.2,0,1.05
172,30,Female,Auckland,Self-employed,5,18000,637,19.25,6127.2,debt_consolidation,0.249663002,50.8,1,1.27
173,37,Female,Tasman,Employed,3,95684.66,658,6.98,70000,medical,0.227307821,42.5,0,0.92
174,41,Female,Gisborne,Employed,20,131370.29,588,6.35,24471.63,car,0.278278892,26,0,1.08
175,41,Male,Canterbury,Unemployed,9,82575.1,780,34,20738.55,other,0.082793001,38.5,0,1.27
176,46,Female,Bay of Plenty,Unemployed,12,62636.9,603,4.81,9950.56,car,0.270243152,50.7,0,1.14
177,38,Female,Waikato,Employed,1,58593.94,608,3.47,1810.45,vacation,0.269968488,28.4,0,1.26
178,53,Female,Nelson,Employed,7,56576.51,788,23.6,16280.3,medical,0.085002604,28.6,0,0.77
179,35,Female,Manawatu-Whanganui,Employed,2,32098.18,699,13.1,25955.49,debt_consolidation,0.193306031,42.3,0,1.64
180,65,Male,Northland,Employed,1,43028.94,605,28.18,21046.79,car,0.289916765,65.6,0,1.17
181,44,Female,Auckland,Employed,14,50624.26,672,0,14731.71,education,0.208751456,25.7,0,1.21
182,29,Female,Nelson,Employed,0,69580.47,666,17.16,16965.33,vacation,0.213197238,22.2,0,0.9
183,27,Other/Prefer not to say,Canterbury,Employed,17,46539.36,579,7.21,9718.93,vacation,0.308987595,41,1,1.24
184,43,Male,Gisborne,Employed,1,38586.78,635,1.93,14522.21,home_improvement,0.234719612,28,0,0.92
185,36,Male,Canterbury,Employed,9,102539.67,678,6.27,11103.39,small_business,0.215315901,36.4,0,0.98
186,45,Male,Nelson,Student,2,81187.04,756,5.33,9247.73,car,0.123305827,40.7,0,0.76
187,43,Female,Otago,Self-employed,2,47033,669,15.31,4090.01,medical,0.204819317,0,0,0.87
188,37,Male,Tasman,Part-time,1,88071.97,673,13.33,15224.2,small_business,0.180944544,0.6,0,1.16
189,30,Male,Marlborough,Employed,4,49525.74,631,22.52,28720.27,car,0.255370111,3.4,1,1.22
190,23,Other/Prefer not to say,Marlborough,Self-employed,2,67506.66,746,2.29,4359.52,other,0.122137027,33.7,0,1.16
191,34,Male,Canterbury,Employed,5,116677.5,734,21.48,27543.91,medical,0.153445696,15.2,0,1.09
192,47,Female,Hawke's Bay,Self-employed,0,45247.28,727,25.75,19720.81,small_business,0.162934178,45,0,1.06
193,40,Male,Manawatu-Whanganui,Employed,0,32166.98,687,26.88,24453.06,vacation,0.211243869,53.3,0,1.07
194,26,Female,Nelson,Employed,1,59579.2,584,23.38,7308.06,medical,0.278084176,38.9,0,1.05
195,40,Female,Waikato,Part-time,3,28683.1,745,20.77,13058.52,education,0.122477492,86.2,0,1.2
196,42,Female,Auckland,Employed,8,55032.18,683,12.62,15790.51,small_business,0.203586952,47.7,0,1.04
197,29,Female,Hawke's Bay,Part-time,11,54926.99,661,26.87,27868.75,other,0.2165736,34.2,0,1.24
198,40,Male,Auckland,Employed,1,18000,707,25.96,7868.21,car,0.167559858,45.6,0,0.95
199,39,Male,Bay of Plenty,Employed,4,89368.51,693,15.7,16581.79,small_business,0.219919467,30.5,0,0.85
200,27,Male,West Coast,Employed,7,58251.71,616,8.22,17918.57,education,0.280809459,45.6,0,0.99
201,42,Female,Southland,Unemployed,2,132095.5,661,10,40525.93,small_business,0.212504016,35.8,0,1.04
202,44,Female,Southland,Employed,3,73973.47,566,6.17,9008.61,home_improvement,0.303360346,0,0,1.07
203,49,Male,Waikato,Part-time,4,101063.84,685,11.11,10305.51,car,0.204155835,45,0,1.32
204,49,Female,West Coast,Employed,1,132742.42,760,23.54,30066.07,car,0.120816417,39.1,0,1.17
205,24,Male,Canterbury,Unemployed,0,60060.78,572,25.86,18648.6,education,0.30839755,42.9,0,0.79
206,29,Female,Bay of Plenty,Employed,1,64967.9,688,13.82,33221.49,vacation,0.182562642,66.5,0,1.3
207,43,Other/Prefer not to say,Otago,Employed,5,25286.26,720,14.07,15854.95,car,0.173273332,56.3,0,0.5
208,43,Male,West Coast,Employed,0,136743.91,729,12.48,17584.02,debt_consolidation,0.141255675,26.9,0,1.45
209,43,Female,Gisborne,Employed,1,59559.08,635,9.63,5913.07,home_improvement,0.22487378,20.1,0,0.93
210,75,Male,Bay of Plenty,Employed,2,35550.31,614,9.66,4010.76,car,0.291607065,29.9,0,0.99
211,44,Female,Wellington,Employed,0,101313.61,645,29.62,9672.93,medical,0.220835327,42.3,0,1.03
212,49,Female,Otago,Employed,1,18000,751,13.7,13951.1,home_improvement,0.123491426,8.7,0,1.13
213,48,Male,Waikato,Employed,12,50240.56,577,17.29,13590.79,home_improvement,0.323526752,26.8,0,1.06
214,45,Male,Manawatu-Whanganui,Employed,0,112098.05,607,0,12207.52,education,0.269555165,35.9,0,1.01
215,35,Male,Wellington,Employed,5,49986.56,652,10.54,26800.38,other,0.23767485,0.7,0,1.23
216,46,Female,Auckland,Employed,2,42251.26,621,9.87,18389.03,debt_consolidation,0.221208135,5.3,0,1.2
217,30,Female,Tasman,Part-time,6,50637.6,677,23,18919.39,other,0.191827798,36.9,0,0.89
218,36,Male,Northland,Part-time,4,19461.34,765,25.7,12905.08,small_business,0.121864632,26.4,0,1.13
219,33,Female,Northland,Employed,1,99850.53,608,25.87,3906.59,education,0.282556868,53.3,0,1.19
220,39,Female,Wellington,Part-time,9,60379.86,671,6,28951.94,small_business,0.209132794,51.6,0,0.93
221,61,Male,Nelson,Self-employed,3,55201.63,680,28.35,13883.3,education,0.195699238,29.9,0,1.25
222,19,Male,Manawatu-Whanganui,Employed,9,55322.85,660,13.17,6915.19,car,0.206187067,6.5,0,1.11
223,45,Female,Hawke's Bay,Employed,3,65551.44,585,9.82,62303.69,other,0.288238707,28,0,1
224,22,Female,Northland,Part-time,21,96201.96,642,20.56,35487.31,other,0.230973188,40,0,0.95
225,33,Male,Wellington,Self-employed,7,63000.91,642,28.8,15753.57,education,0.257702995,22.5,0,0.57
226,49,Male,Southland,Student,17,28714.59,718,20.32,8895.6,home_improvement,0.16154232,45.9,0,1.02
227,39,Male,Nelson,Student,4,91807.77,705,6.2,4536.65,debt_consolidation,0.152952979,23.6,0,1.19
228,27,Female,Waikato,Employed,3,87665.56,587,23.2,17176.27,other,0.285213573,35.4,0,1.09
229,31,Male,Nelson,Employed,7,73530.73,657,28.91,7184.83,car,0.237536854,54.6,0,0.91
230,45,Male,Taranaki,Employed,11,123907.1,650,7.87,14349.04,small_business,0.231724648,20.2,0,1.25
231,31,Female,West Coast,Employed,17,66195.63,797,18.49,17147.79,vacation,0.081373797,37.9,0,0.97
232,40,Female,Manawatu-Whanganui,Employed,2,126622.84,698,15.86,23960.01,education,0.206358448,48,0,0.76
233,38,Male,Manawatu-Whanganui,Employed,8,151216.7,615,19.1,26383.68,education,0.278770895,40,0,1.37
234,31,Male,Hawke's Bay,Employed,1,92182.93,633,7.73,8919,car,0.241314483,55.2,0,0.81
235,59,Female,Otago,Employed,4,41497.25,657,9.23,34372.61,small_business,0.254652801,24.2,0,1.17
236,44,Male,Canterbury,Employed,1,60094.35,702,22.41,15429.13,home_improvement,0.144620582,32.2,0,0.96
237,18,Male,Northland,Employed,2,136687.99,709,23.79,8643.71,small_business,0.154193313,15.9,0,1
238,40,Female,Tasman,Employed,13,26464.67,692,22.3,26958.45,medical,0.181390301,21.8,0,0.82
239,31,Male,Canterbury,Employed,1,51378.26,667,25.93,48017.19,vacation,0.198080638,14.7,1,0.82
240,47,Female,West Coast,Self-employed,5,52910.85,672,12.97,20587.73,home_improvement,0.192568556,18.7,0,1.12
241,30,Female,Canterbury,Part-time,4,38677.61,672,31.84,16145.59,car,0.180464079,37,0,1.1
242,37,Male,Marlborough,Employed,1,109740.08,573,8.22,28303.79,medical,0.326762286,0,0,1.19
243,43,Male,Tasman,Employed,2,81489.67,676,23.67,5255.96,car,0.200040557,21.2,0,1.05
244,47,Female,Marlborough,Student,4,42425.61,645,21.86,5556.88,debt_consolidation,0.255244162,40.9,0,1.55
245,26,Female,Waikato,Employed,1,93475.09,581,18.25,26289.93,education,0.275753917,42.4,0,1.13
246,35,Female,Nelson,Unemployed,8,59106.3,825,27.05,31629.26,education,0.085915903,31.3,0,1.11
247,33,Female,Southland,Employed,18,38102.14,699,27.53,8145.39,other,0.182497541,42,0,0.86
248,31,Male,Auckland,Student,1,42378.29,681,22.85,7059.87,debt_consolidation,0.215165249,44.3,0,1.09
249,56,Female,Canterbury,Part-time,1,84438.03,658,14.23,8908.01,education,0.250674984,44.1,0,1.1
250,42,Male,Manawatu-Whanganui,Self-employed,3,114181.95,724,33.86,27761.51,home_improvement,0.158477367,35,0,1.02
251,25,Male,Marlborough,Employed,7,48537,610,13.45,10695.67,medical,0.269495212,14.5,0,1.09
